taleggio
cotija
roquefort
mozzarella
feta
cottage
cheddar
gouda
parmesan
camembert
manchego
emmental
monterey Jack
pecorino toscano
chèvre
fontina d’aosta
gorgonzola
robiola piemonte
mascarpone
provolone
asiago
pepper jack 
colby jack
brie
kasseri
provolone
cream
farmer
colby
goat
blue
mascarpone
