name,country
calamari,
clam,
clams,
crab,
crayfish,
eel,
lobster,
mussel,
mussels,
octopus,
oyster,
oysters,
prawn,
scallop,
scallops,
sea scallop,
sea scallops,
shrimp,
squid,
awabi,japan
hamaguri,japan
chocolate clams,mexico
striped venus clam,italy
cozza,italy
