name,country
anchovy,
bass,
calamari,
catfish,
clam,
clams,
cod,
cod fillet,
cod fillets,
crab,
crayfish,
eel,
fish,
flounder,
haddock,
halibut,
herring,
lobster,
lox,
mackerel,
mahi mahi,
mahi-mahi,
mahimahi,
mussel,
mussels,
octopus,
oyster,
oysters,
pollock,
porgy,
prawn,
salmon,
scallop,
scallops,
sea bass,
shrimp,
snapper,
squid,
sushi,
swordfish,
tilapia,
tilapia whitefish,
trout,
tuna,
tuna fish,
tunafish,
yellowfin tuna,
