name, country
all-purpose flour,
bread flour,
cake flour,
pastry flour,
whole wheat flour,
white whole wheat flour,
oat flour,
self-rising flour,
seminola,
almond flour,
amaranth flour,
barley flour,
buckwheat flour,
corn flour,
flaxseed flour,
peanut flour,
potato flour,
rice flour,
rye flour,
soy flour,
spelt flour,
coconut flour,
cassava flour,
chickpea flour,
millet flour,
