name, country
sugar,
brown sugar,
white sugar,
powder sugar,
stevia,
xylitol,
monk fruit,
splenda,
coconut palm sugar,
molasses,
maple syrup,
honey,
erythritol,
corn syrup,
caramel,
cane juice,
agave syrup,
